time, temperature, humidity, pm25, pm10, ozone, V-ozone, voc, V-voc, ammonia, V-ammonia 
0.0, 25.9, 58.4, 1.3, 2.1, 11.833, 3.09, 2.956, 3.57, 0.222, 1.79
1.5, 25.9, 58.2, 1.4, 2.1, 11.793, 3.09, 2.958, 3.57, 0.211, 1.775
3.0, 26.0, 58.4, 1.4, 2.1, 11.782, 3.092, 2.957, 3.57, 0.208, 1.77
4.5, 26.0, 58.3, 1.4, 2.1, 11.868, 3.1, 2.962, 3.57, 0.203, 1.765
6.0, 26.0, 58.3, 1.4, 2.2, 11.808, 3.076, 2.959, 3.568, 0.194, 1.752
7.5, 26.0, 58.3, 1.4, 2.1, 11.25, 3.152, 2.94, 3.565, 0.194, 1.755
9.01, 25.9, 57.9, 1.5, 2.2, 10.186, 3.29, 2.932, 3.566, 0.184, 1.749
10.51, 26.0, 58.3, 1.5, 2.2, 10.129, 3.288, 2.956, 3.568, 0.184, 1.74
12.01, 26.0, 57.8, 1.5, 2.3, 10.169, 3.286, 2.957, 3.564, 0.184, 1.736
13.51, 26.1, 58.0, 1.5, 2.2, 11.474, 3.122, 2.952, 3.59, 0.184, 1.74
15.01, 26.0, 57.8, 1.6, 2.3, 11.796, 3.086, 2.99, 3.564, 0.184, 1.74
16.51, 26.0, 58.0, 1.6, 2.3, 11.867, 3.085, 2.954, 3.575, 0.18, 1.73
18.01, 26.0, 58.0, 1.6, 2.4, 11.82, 3.088, 2.954, 3.582, 0.18, 1.736
19.51, 26.0, 58.1, 1.6, 2.5, 11.962, 3.088, 2.938, 3.58, 0.171, 1.72
21.01, 26.0, 57.9, 1.7, 2.7, 11.952, 3.062, 2.934, 3.575, 0.171, 1.723
22.51, 26.0, 57.8, 1.7, 2.7, 11.939, 3.07, 2.934, 3.56, 0.169, 1.723
24.02, 26.1, 58.0, 1.7, 2.6, 11.986, 3.07, 2.952, 3.56, 0.169, 1.72
25.52, 26.1, 57.8, 1.6, 2.5, 11.674, 3.094, 3.016, 3.602, 0.168, 1.716
27.02, 26.1, 57.8, 1.6, 2.6, 11.969, 3.078, 2.951, 3.566, 0.168, 1.716
28.52, 26.1, 57.7, 1.6, 2.3, 11.412, 3.094, 2.939, 3.58, 0.168, 1.719
30.02, 26.1, 57.6, 1.5, 2.2, 11.96, 3.087, 2.924, 3.547, 0.166, 1.713
31.52, 26.1, 57.8, 1.5, 2.1, 11.995, 3.078, 3.0, 3.55, 0.166, 1.724
33.02, 26.1, 57.8, 1.5, 2.1, 11.975, 3.088, 2.938, 3.556, 0.166, 1.714
34.52, 26.1, 57.9, 1.5, 2.1, 11.911, 3.08, 2.968, 3.562, 0.167, 1.72
36.02, 26.1, 57.7, 1.5, 2.0, 11.954, 3.064, 2.925, 3.588, 0.168, 1.72
37.52, 26.1, 57.8, 1.5, 2.1, 11.918, 3.08, 2.938, 3.566, 0.166, 1.722
39.03, 26.1, 57.7, 1.4, 2.0, 11.954, 3.076, 2.967, 3.57, 0.169, 1.724
40.53, 26.1, 57.9, 1.4, 2.0, 11.929, 3.076, 2.968, 3.582, 0.169, 1.722
42.03, 26.2, 57.7, 1.4, 2.0, 11.959, 3.106, 2.928, 3.568, 0.168, 1.716
43.53, 26.2, 57.4, 1.4, 2.1, 11.984, 3.076, 2.934, 3.572, 0.164, 1.71
45.03, 26.1, 57.7, 1.4, 2.0, 11.938, 3.084, 2.926, 3.558, 0.165, 1.716
46.53, 26.1, 57.7, 1.3, 2.0, 11.912, 3.088, 2.957, 3.584, 0.166, 1.718
48.03, 26.2, 57.6, 1.3, 1.9, 11.981, 3.07, 2.925, 3.572, 0.163, 1.722
49.53, 26.1, 57.8, 1.2, 1.8, 12.01, 3.078, 2.93, 3.582, 0.168, 1.716
51.03, 26.2, 57.7, 1.2, 1.7, 11.886, 3.084, 2.939, 3.572, 0.168, 1.722
